status,city,property_type,management_by_landlord,data_id,areacode,sqft,listing_date,platform,locality,address,lat,txn_type,lng,building_name,desc
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE,YES,2930,400705,553511,2016-06-08T13:08:04Z,purpleyo,Pawne,"# C-30/31, MIDC Industrial Area, Pawne, Navi Mumbai",19.08939,LEASE,73.026344,Everest Infotech Park II,
UNDER CONSTRUCTION,Mumbai,OFFICE,YES,1542,400063,1300500,2016-06-02T05:45:58Z,purpleyo,Goregaon East,"Nesco IT Park, Western Expressway, Goregaon East, Mumbai",19.152613,LEASE,72.855736,Nesco - IT 4,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3079,400059,91500,2016-06-24T07:13:41Z,purpleyo,Andheri East,"# 5, Chunawala Estate, Kondvita Road, Andheri Kurla Road, Andheri East, Mumbai",19.113445,LEASE,72.872215,DC Business Centre,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2606,400051,800000,2016-06-23T11:21:02Z,purpleyo,Bandra East,"G Block, BKC Road, Bandra East, Mumbai",19.063456,SALE,72.85767,Inspire,
UNDER CONSTRUCTION,Mumbai,OFFICE AND RETAIL,YES,3144,400071,210000,2016-05-19T09:33:36Z,purpleyo,Chembur,"SG Brave Marg, Chembur, Mumbai",19.05452,SALE,72.88939,Surana Tulsi Chambers,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,697,400063,90000,2016-06-23T09:35:32Z,purpleyo,Goregaon East,"VIshweshar Nagar, Aarey Road, Goregaon East, Mumbai",19.168581,LEASE,72.8531,Chintamani Classique,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3126,400053,73000,2016-06-28T10:57:07Z,purpleyo,Andheri West,"# 678, Veera Desai Industrial Estate, New Link Road, Andheri West, Mumbai",19.135696,SALE,72.8338,Gazdhar Enclave,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,2426,400052,36630,2016-06-14T10:37:07Z,purpleyo,Khar West,"13th Road, Khar West, Mumbai",19.07033,LEASE,72.83342,Kirabo,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2552,400072,54000,2016-03-18T07:20:54Z,purpleyo,Andheri East,"Mehra Compound Road, Safed Pul, Sakinaka, Andheri East, Mumbai",19.099003,LEASE,72.88624,Trade Square Wing B,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,1993,400030,265000,2016-06-23T10:23:58Z,purpleyo,Prabhadevi,"# 14, Dr Annie Besant Road, Century Bazaar, Prabhadevi, Mumbai",19.012203,LEASE,72.8234,Birla Aurora,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE,YES,3178,400705,700000,2016-05-26T09:16:14Z,purpleyo,Pawne,"Millenium Business Park, MIDC Industrial Area, Sector 1, Pawne, Navi Mumbai",19.111092,LEASE/SALE,73.01542,Rupa Solitaire,
UNDER CONSTRUCTION,Navi Mumbai,OFFICE AND RETAIL,NO,550,410210,140000,2016-06-20T12:16:06Z,purpleyo,Kharghar,"# 274, Sector 10, Kharghar, Navi Mumbai",19.036821,SALE,73.07799,Niharika Mirage,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,1808,400098,50000,2016-05-24T13:33:03Z,purpleyo,Kalina,"CST Road, Kalina, Santacruz East, Mumbai",19.072504,LEASE/SALE,72.86697,Manek Plaza,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,727,410210,52800,2016-02-11T05:41:49Z,purpleyo,Kharghar,"Sector 2, Kharghar, Navi Mumbai",19.029837,SALE,73.06526,Shah Prima,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2995,400078,556889,2016-06-07T07:26:50Z,purpleyo,Bhandup,"LBS Marg, Bhandup, Mumbai",19.138044,LEASE,72.9332,Raj Embassy,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3299,400062,136610,2016-05-31T10:58:14Z,purpleyo,Goregaon West,"Ram Mandir Road, Goregaon West, Mumbai",19.149933,LEASE/SALE,72.84855,RNA Corporate Centre,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,563,400705,1000450,2016-05-10T06:03:20Z,purpleyo,Vashi,"S Pranavanandji Marg, Sector 30, Vashi, Navi Mumbai",19.064726,LEASE,72.99676,Vishwaroop IT Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3119,400058,5300,2016-05-23T07:48:53Z,purpleyo,Andheri West,"SV Road, Andheri West, Mumbai",19.112137,SALE,72.84173,Sai Darshan,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,NO,2403,400706,55120,2016-06-08T07:19:44Z,purpleyo,Juinagar,"Jui Nagar East, Soin Panvel Highway, Navi Mumbai",19.052216,LEASE,73.019394,Business Bay,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,1109,400021,192000,2016-06-03T06:59:06Z,purpleyo,Nariman Point,"Vinay K Shah Marg, Nariman Point, Mumbai",18.925474,LEASE/SALE,72.82218,Maker Chamber lll,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,1063,400079,1400000,2016-02-22T12:17:23Z,purpleyo,Vikhroli West,"Lal Bahadur Shastri Marg, Godrej & Boyce Industry Estate, Vikhroli West, Mumbai",19.10222,LEASE,72.92244,Godrej IT Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2525,400098,11200,2016-06-20T10:04:05Z,purpleyo,Santacruz East,"# 167, CST Road, Kalina, Santacruz East, Mumbai",19.07297,LEASE,72.86807,Gujral's,
UNDER CONSTRUCTION,Mumbai,OFFICE AND RETAIL,YES,3213,400058,4290,2016-06-07T07:00:54Z,purpleyo,Andheri East,"Rajmata Jijabai Marg, Sher E Punjab Colony, Andheri East, Mumbai",19.128923,SALE,72.86071,Mogra Vikas,
