city,listing_id,listing_date,property_subtype,sqft,locality,configtype,platform,Selling_Price,txn_type,property_type,listing_by,Building_Name
Mumbai,4346831,05/18/2016,Commercial: Warehouse/Godown,2000,Andheri West,Immediate,Sulekha,,Sale,Commercial,Citi Limit Estate Consultants,
Mumbai,4255742,05/12/2016,Commercial: Showrooms/Shops,300,Dombivali East,Immediate,Sulekha,16.2 lakhs,Sale,Commercial,Vedant Group of Property,
Mumbai,4569053,05/30/2016,Commercial: Showrooms/Shops,350,Naigaon East,Dec  2016,Sulekha,27.5 lakhs,Sale,Commercial,shining star,
Mumbai,3421956,06/07/2016,Commercial: Office Space,1000,Chembur East,mar 2016,Sulekha,1.5 crores,Sale,Commercial,Dinesh Upadhyay,
Mumbai,4180514,05/17/2016,Commercial: Showrooms/Shops,800,Virar West,immediate,Sulekha,42 lakhs,Sale,Commercial,ganesh girane,
Mumbai,4407842,06/08/2016,Commercial: Showrooms/Shops,183,Borivali West,dec 2016,Sulekha,54.9 lakhs,Sale,Commercial,Pankaj Soni,
Mumbai,4306154,05/06/2016,Commercial: Office Space,616,Goregaon East,immediate,Sulekha,95.48 lakhs,Sale,Commercial,Rajesh,
Mumbai,4349523,06/16/2016,Commercial: Showrooms/Shops,6000,Diva Junction East,Dec  2017,Sulekha,4.8 crores,Sale,Commercial,Samrin Group Of Companies,
Mumbai,4450263,05/12/2016,Commercial: Office Space,350,Bhandup West,immediate,Sulekha,1.05 crores,Sale,Commercial,Pravin Ladkat,
Mumbai,4555470,05/25/2016,Commercial: Office Space,2500,Andheri East,immediate,Sulekha,4 crores,Sale,Commercial,Rajesh N Shah,
Mumbai,4627407,06/18/2016,Commercial: Office Space,459,Vikhroli West,immediate,Sulekha,61.97 lakhs,Sale,Commercial,Mr Gurdeep Singh,
Mumbai,4250239,06/12/2016,Commercial: Showrooms/Shops,276,Vasai Road West,immediate,Sulekha,14 lakhs,Sale,Commercial,A D Realty,
Mumbai,4346569,05/18/2016,Commercial: Office Space,2700,Andheri East,Immediate,Sulekha,,Sale,Commercial,Citi Limit Estate Consultants,
Mumbai,4569052,05/30/2016,Commercial: Showrooms/Shops,340,Naigaon East,Dec  2016,Sulekha,27 lakhs,Sale,Commercial,shining star,
Mumbai,4354303,05/20/2016,Commercial: Showrooms/Shops,825,Thane,immediate,Sulekha,3.7 crores,Sale,Commercial,Shree Radha Krishna Real Estate Agency,
Mumbai,4491220,05/06/2016,Commercial: Office Space,1200,Bhandup West,dec 2016,Sulekha,1.26 crores,Sale,Commercial,Rakesh Singh,
Mumbai,4349528,05/19/2016,Commercial: Others,9500,Diva Junction East,Jun  2016,Sulekha,9 crores,Sale,Commercial,Samrin Group Of Companies,
Mumbai,4329747,05/13/2016,Commercial: Showrooms/Shops,406,Ambernath East,New,Sulekha,27.2 lakhs,Sale,Commercial,Shubh Enterprises,JP Symphony
Mumbai,4377341,05/27/2016,Commercial: Office Space,650,Goregaon East,immediate,Sulekha,1.1 crores,Sale,Commercial,Atlanta Estate Agency,
Mumbai,4573768,05/31/2016,Commercial: Showrooms/Shops,275,Virar East,New,Sulekha,20.63 lakhs,Sale,Commercial,SN Properties,Disha Enclave
Mumbai,4427414,06/13/2016,Commercial: Office Space,925,Andheri East,immediate,Sulekha,1.48 crores,Sale,Commercial,V K Realty,
Mumbai,4319165,05/09/2016,Commercial: Showrooms/Shops,480,Malad West,immediate,Sulekha,62.64 lakhs,Sale,Commercial,Novaspace Reality Pvt Ltd,
Mumbai,4255641,06/14/2016,Commercial: Showrooms/Shops,242,Karjat,Aug  2016,Sulekha,19.36 lakhs,Sale,Commercial,Shagun Enterprises,
Mumbai,4412707,06/09/2016,Commercial: Showrooms/Shops,230,Ambernath West,dec 2016,Sulekha,18.63 lakhs,Sale,Commercial,R S Enterprises,
Mumbai,4181815,05/22/2016,Commercial: Showrooms/Shops,590,Dombivali East,New,Sulekha,44.24 lakhs,Sale,Commercial,D P Homes,Swastik Floresta
Mumbai,4250710,06/13/2016,Commercial: Showrooms/Shops,185,Nalasopara East,apr 2016,Sulekha,16.65 lakhs,Sale,Commercial,A D Realty,
Mumbai,4249735,06/12/2016,Commercial: Office Space,490,Borivali East,jun 2016,Sulekha,78.4 lakhs,Sale,Commercial,Pankaj Soni,
Mumbai,4491261,05/06/2016,Commercial: Office Space,2500,Bhandup West,dec 2016,Sulekha,2.62 crores,Sale,Commercial,Rakesh Singh,
Mumbai,4150424,05/08/2016,Commercial: Showrooms/Shops,185,Nalasopara East,mar 2016,Sulekha,17 lakhs,Sale,Commercial,Dinesh,
Mumbai,4329749,05/13/2016,Commercial: Showrooms/Shops,452,Ambernath East,New,Sulekha,30.28 lakhs,Sale,Commercial,Shubh Enterprises,JP Symphony
Mumbai,4573770,06/09/2016,Commercial: Showrooms/Shops,360,Virar East,New,Sulekha,27 lakhs,Sale,Commercial,SN Properties,Disha Enclave
Mumbai,4385893,05/30/2016,Commercial: Office Space,940,Goregaon East,immediate,Sulekha,1.51 crores,Sale,Commercial,Atlanta Estate Agency,
Mumbai,3726222,06/14/2016,Commercial: Showrooms/Shops,177,Dombivali East,Immediate,Sulekha,15.93 lakhs,Sale,Commercial,Jai Ambe Enterprises,
Mumbai,4329750,05/13/2016,Commercial: Showrooms/Shops,494,Ambernath East,New,Sulekha,33.1 lakhs,Sale,Commercial,Shubh Enterprises,JP Symphony
Mumbai,4459294,04/26/2016,Commercial: Office Space,3087,Thane,Immediate,Sulekha,2.17 crores,Sale,Commercial,Space Orbeat Properties,
Mumbai,4427386,06/13/2016,Commercial: Office Space,1050,Andheri East,immediate,Sulekha,1.68 crores,Sale,Commercial,V K Realty,
Mumbai,3726280,06/14/2016,Commercial: Showrooms/Shops,110,Dombivali East,immediate,Sulekha,16.5 lakhs,Sale,Commercial,Jai Ambe Enterprises,
Mumbai,4246139,06/11/2016,Commercial: Office Space,800,Vidyavihar West,immediate,Sulekha,80 lakhs,Sale,Commercial,Novaspace Reality Pvt Ltd,
Mumbai,4249493,06/12/2016,Commercial: Office Space,853,Borivali East,jun 2016,Sulekha,1.36 crores,Sale,Commercial,Pankaj Soni,
Mumbai,4462889,04/27/2016,Commercial: Showrooms/Shops,2932,Goregaon East,immediate,Sulekha,5 crores,Sale,Commercial,Rajesh,
