possession,city,property_type,updated_date,management_by_landlord,data_id,areacode,sqft,listing_date,status,platform,config_type,carpet_area,locality,address,lat,txn_type,lng,desc,selling_price,building_name
11/29/2011 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5066755,,7000,11/13/2013 18:07:44,Completed,tigerprop,5BHK,0,Napeansea Road,"Napean Sea Road, Mumbai",18.9632206,sale,72.80236816,,0,Costiera
01/31/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5088016,,0,11/13/2013 18:07:44,Completed,tigerprop,2BHK,692,Chembur,"Behind OLPS Church, Ghatla, Chembur, Chennai",19.05389977,sale,72.90577698,,23499628.0,Aura Apartment
03/30/2008 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5020900,,0,11/13/2013 18:07:44,Completed,tigerprop,2BHK,0,Sion,"Sion, Mumbai.",19.03209114,sale,72.86161041,,0,Karma kshetra
05/31/2016 18:30:00,Mumbai,Apartment,05/16/2016 22:26:21,,5068784,,0,11/13/2013 18:07:44,Under Construction,tigerprop,3BHK,1100,Khar,"18th Road, Khar, Mumbai",19.07341766,sale,72.82896423,,0,Maplewood
01/31/2009 18:30:00,Mumbai,Apartment,04/08/2016 02:14:43,,5261225,,1320,02/04/2015 10:17:14,Completed,tigerprop,2BHK,0,Khar,"Khar West, Mumbai",19.07025719,sale,72.83271027,,0,Royal Accord
01/31/2009 18:30:00,Mumbai,Apartment,04/08/2016 02:15:12,,5261249,,1600,02/04/2015 11:02:28,Completed,tigerprop,3BHK,0,Khar,"Khar West, Mumbai",19.07025719,sale,72.83271027,,0,Royal Accord
01/31/2009 18:30:00,Mumbai,Apartment,04/08/2016 02:15:21,,5261250,,1700,02/04/2015 11:02:28,Completed,tigerprop,3BHK,0,Khar,"Khar West, Mumbai",19.07025719,sale,72.83271027,,0,Royal Accord
01/31/2009 18:30:00,Mumbai,Apartment,04/08/2016 02:15:34,,5261226,,1770,02/04/2015 10:17:14,Completed,tigerprop,3BHK,0,Khar,"Khar West, Mumbai",19.07025719,sale,72.83271027,,0,Royal Accord
11/30/2016 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5006600,,843,11/13/2013 18:07:44,Under Construction,tigerprop,2BHK,0,Vikhroli,"Vikhroli, Mumbai",19.10345078,sale,72.92726898,,0,Platinum
11/30/2016 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5006601,,859,11/13/2013 18:07:44,Under Construction,tigerprop,2BHK,0,Vikhroli,"Vikhroli, Mumbai",19.10345078,sale,72.92726898,,0,Platinum
11/30/2016 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5034057,,1110,11/13/2013 18:07:44,Under Construction,tigerprop,3BHK,0,Vikhroli,"Vikhroli, Mumbai",19.10345078,sale,72.92726898,,0,Platinum
11/30/2016 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5030424,,1714,11/13/2013 18:07:44,Under Construction,tigerprop,4BHK,0,Vikhroli,"Vikhroli, Mumbai",19.10345078,sale,72.92726898,,0,Platinum
11/30/2016 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5194338,,1762,03/15/2014 10:33:58,Under Construction,tigerprop,4BHK,0,Vikhroli,"Vikhroli, Mumbai",19.10345078,sale,72.92726898,,0,Platinum
11/30/2014 18:30:00,Mumbai,Apartment,06/09/2016 00:07:08,,5062919,,0,11/13/2013 18:07:44,Completed,tigerprop,2BHK,760,Santacruz West,"Besant Road, Behind Hi-Life Mall, Off S.V. Road, Santacruz West, Mumbai",19.08306694,sale,72.84003448,,0,Heritage
11/30/2014 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5062920,,0,11/13/2013 18:07:44,Completed,tigerprop,2BHK,840,Santacruz West,"Besant Road, Behind Hi-Life Mall, Off S.V. Road, Santacruz West, Mumbai",19.08306694,sale,72.84003448,,0,Heritage
11/30/2014 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5080729,,0,11/13/2013 18:07:44,Completed,tigerprop,3BHK,1061,Santacruz West,"Besant Road, Behind Hi-Life Mall, Off S.V. Road, Santacruz West, Mumbai",19.08306694,sale,72.84003448,,0,Heritage
11/30/2014 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5063420,,0,11/13/2013 18:07:44,Completed,tigerprop,4BHK,1410,Santacruz West,"Besant Road, Behind Hi-Life Mall, Off S.V. Road, Santacruz West, Mumbai",19.08306694,sale,72.84003448,,0,Heritage
05/31/2014 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5283405,,3200,05/30/2015 06:09:10,Completed,tigerprop,4BHK,0,Chembur,"511, 12th Road, Near Diamond Garden, Chembur, Mumbai",19.05748177,sale,72.90200043,,0,Annapoorna
12/31/2013 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5087994,,1068,11/13/2013 18:07:44,Completed,tigerprop,2BHK,0,Chembur,"Collectors Colony, Chembur, Mumbai",19.04415894,sale,72.89218903,,0,Trinity Apartments
12/31/2008 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5002651,,1794,11/13/2013 18:07:44,Completed,tigerprop,3BHK,0,Kanjurmarg,"Kanjurmarg West, Mumbai",19.13440323,sale,72.9289093,,0,GE Gardens
12/31/2008 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5002652,,1802,11/13/2013 18:07:44,Completed,tigerprop,3BHK,0,Kanjurmarg,"Kanjurmarg West, Mumbai",19.13440323,sale,72.9289093,,0,GE Gardens
12/31/2008 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5002653,,2247,11/13/2013 18:07:44,Completed,tigerprop,4BHK,0,Kanjurmarg,"Kanjurmarg West, Mumbai",19.13440323,sale,72.9289093,,0,GE Gardens
02/29/2016 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5063366,,750,11/13/2013 18:07:44,Under Construction,tigerprop,1BHK,0,Goregaon West,"Near Jawahar Nagar, Goregaon West, Mumbai",19.15621376,sale,72.84657288,,0,Nutan Annexe
02/29/2016 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5063367,,1250,11/13/2013 18:07:44,Under Construction,tigerprop,2BHK,0,Goregaon West,"Near Jawahar Nagar, Goregaon West, Mumbai",19.15621376,sale,72.84657288,,0,Nutan Annexe
02/29/2016 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5063368,,1650,11/13/2013 18:07:44,Under Construction,tigerprop,3BHK,0,Goregaon West,"Near Jawahar Nagar, Goregaon West, Mumbai",19.15621376,sale,72.84657288,,0,Nutan Annexe
01/31/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5159609,,1309,11/14/2013 06:45:18,Completed,tigerprop,2BHK,0,Ghansoli,"Ghansoli, Mumbai",19.11169052,sale,72.92162323,,0,Heights
01/31/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5159610,,1459,11/14/2013 06:45:18,Completed,tigerprop,3BHK,0,Ghansoli,"Ghansoli, Mumbai",19.11169052,sale,72.92162323,,0,Heights
01/31/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5159611,,1515,11/14/2013 06:45:18,Completed,tigerprop,3BHK,0,Ghansoli,"Ghansoli, Mumbai",19.11169052,sale,72.92162323,,0,Heights
01/31/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5231467,,1550,08/22/2014 12:56:16,Completed,tigerprop,3BHK,0,Ghansoli,"Ghansoli, Mumbai",19.11169052,sale,72.92162323,,0,Heights
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260480,,408,01/30/2015 12:41:16,Under Construction,tigerprop,1BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260479,,460,01/30/2015 12:41:16,Under Construction,tigerprop,1BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260478,,495,01/30/2015 12:41:16,Under Construction,tigerprop,1BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260477,,510,01/30/2015 12:41:16,Under Construction,tigerprop,1BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
