quality1,quality2,quality3,data_id,Building_name,config_type,Selling_price,Monthly_Rent,price_per_sqft,lat,longt,platform,city,listing_date,txn_type,property_type,locality,Bua_sqft,Status,listing_by,name_lister,Details,address,price_on_req,sublocality,age,google_place_id,Possession,Launch_date,mobile_lister,areacode,management_by_landlord,carpet_area,updated_date
1,,1,5056888,Atlantis,3BHK,15150000.0,0,9570.6476,19.11955833,72.99305725,tigerprop,Mumbai,11/13/2013 18:07:44,sale,Apartment,navi mumbai,1500,Under Construction,B and M Buildcon,None,None,"Plot No. 5, Sector-11, Ghansoli, Navi Mumbai",false,Ghansoli,None,None,11/30/2016 18:30:00,,None,51191,None,0,05/18/2016 01:04:55
1,,1,5076002,Atlantis,3BHK,16665000.0,0,9570.6476,19.11955833,72.99305725,tigerprop,Mumbai,11/13/2013 18:07:44,sale,Apartment,navi mumbai,1650,Under Construction,B and M Buildcon,None,None,"Plot No. 5, Sector-11, Ghansoli, Navi Mumbai",false,Ghansoli,None,None,11/30/2016 18:30:00,,None,51191,None,0,05/12/2016 01:32:35
1,,1,5990962,Avenue 2,2BHK,12712000.0,0,14079.4213,19.1522274,72.84477997,tigerprop,Mumbai,03/24/2016 06:37:18,sale,Apartment,andheri to dahisar,908,Under Construction,Sunteck Group,None,None,"Nahar Singh Estate, Ram Mandir Road, Off SV Road, Goregaon West, Mumbai",false,Goregaon West,None,None,09/30/2018 18:30:00,,None,50025,None,550,03/24/2016 01:44:01
1,,1,5162656,Avenue 2,2BHK,13258000.0,0,14079.4213,19.1522274,72.84477997,tigerprop,Mumbai,11/21/2013 11:30:20,sale,Apartment,andheri to dahisar,947,Under Construction,Sunteck Group,None,None,"Nahar Singh Estate, Ram Mandir Road, Off SV Road, Goregaon West, Mumbai",false,Goregaon West,None,None,09/30/2018 18:30:00,,None,50025,None,574,03/24/2016 01:44:01
1,,1,5162657,Avenue 2,2BHK,13678000.0,0,14079.4213,19.1522274,72.84477997,tigerprop,Mumbai,11/21/2013 11:30:20,sale,Apartment,andheri to dahisar,977,Under Construction,Sunteck Group,None,None,"Nahar Singh Estate, Ram Mandir Road, Off SV Road, Goregaon West, Mumbai",false,Goregaon West,None,None,09/30/2018 18:30:00,,None,50025,None,592,03/24/2016 01:44:01
1,,1,5990963,Avenue 2,2BHK,15232000.0,0,14079.4213,19.1522274,72.84477997,tigerprop,Mumbai,03/24/2016 06:37:18,sale,Apartment,andheri to dahisar,1088,Under Construction,Sunteck Group,None,None,"Nahar Singh Estate, Ram Mandir Road, Off SV Road, Goregaon West, Mumbai",false,Goregaon West,None,None,09/30/2018 18:30:00,,None,50025,None,659,03/24/2016 01:44:01
1,,1,5252745,Avenue 2,2BHK,15372000.0,0,14079.4213,19.1522274,72.84477997,tigerprop,Mumbai,12/19/2014 09:40:19,sale,Apartment,andheri to dahisar,1098,Under Construction,Sunteck Group,None,None,"Nahar Singh Estate, Ram Mandir Road, Off SV Road, Goregaon West, Mumbai",false,Goregaon West,None,None,09/30/2018 18:30:00,,None,50025,None,665,03/24/2016 01:44:01
1,,1,5990964,Avenue 2,3BHK,19670000.0,0,14079.4213,19.1522274,72.84477997,tigerprop,Mumbai,03/24/2016 06:37:18,sale,Apartment,andheri to dahisar,1405,Under Construction,Sunteck Group,None,None,"Nahar Singh Estate, Ram Mandir Road, Off SV Road, Goregaon West, Mumbai",false,Goregaon West,None,None,09/30/2018 18:30:00,,None,50025,None,851,03/24/2016 01:44:01
1,,1,5162658,Avenue 2,3BHK,19754000.0,0,14079.4213,19.1522274,72.84477997,tigerprop,Mumbai,11/21/2013 11:30:20,sale,Apartment,andheri to dahisar,1411,Under Construction,Sunteck Group,None,None,"Nahar Singh Estate, Ram Mandir Road, Off SV Road, Goregaon West, Mumbai",false,Goregaon West,None,None,09/30/2018 18:30:00,,None,50025,None,855,03/24/2016 01:44:01
1,,1,6175766,Epsilon,2BHK,12617500.0,0,11850.6156,19.20567513,72.87372589,tigerprop,Mumbai,05/04/2016 11:57:04,sale,Apartment,andheri to dahisar,1030,Pre Launch,sd corp,None,None,"Kandivali East, Mumbai",false,Kandivali East,None,None,11/30/2019 18:30:00,,None,50027,None,0,06/11/2016 00:59:30
1,,1,5518681,Epsilon,2BHK,16292500.0,0,11850.6156,19.20567513,72.87372589,tigerprop,Mumbai,12/31/2015 12:38:07,sale,Apartment,andheri to dahisar,1330,Pre Launch,sd corp,None,None,"Kandivali East, Mumbai",false,Kandivali East,None,None,11/30/2019 18:30:00,,None,50027,None,0,06/11/2016 00:59:30
1,,1,6545504,Epsilon,3BHK,20788250.0,0,11850.6156,19.20567513,72.87372589,tigerprop,Mumbai,06/11/2016 06:29:30,sale,Apartment,andheri to dahisar,1697,Pre Launch,sd corp,None,None,"Kandivali East, Mumbai",false,Kandivali East,None,None,11/30/2019 18:30:00,,None,50027,None,0,06/11/2016 00:59:30
1,,1,5518682,Epsilon,3BHK,20886250.0,0,11850.6156,19.20567513,72.87372589,tigerprop,Mumbai,12/31/2015 12:38:07,sale,Apartment,andheri to dahisar,1705,Pre Launch,sd corp,None,None,"Kandivali East, Mumbai",false,Kandivali East,None,None,11/30/2019 18:30:00,,None,50027,None,0,06/11/2016 00:59:30
1,,1,6131424,White City,1BHK,9334500.0,0,11850.6156,19.20110893,72.87722778,tigerprop,Mumbai,04/18/2016 10:08:30,sale,Apartment,andheri to dahisar,735,Under Construction,Rajesh LifeSpaces,None,None,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",false,Kandivali East,None,None,11/30/2017 18:30:00,,None,50027,None,459,04/18/2016 04:38:30
1,,1,5026266,White City,1BHK,9461500.0,0,11850.6156,19.20110893,72.87722778,tigerprop,Mumbai,11/13/2013 18:07:44,sale,Apartment,andheri to dahisar,745,Under Construction,Rajesh LifeSpaces,None,None,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",false,Kandivali East,None,None,11/30/2017 18:30:00,,None,50027,None,465,04/18/2016 04:38:30
1,,1,5026267,White City,2BHK,12446000.0,0,11850.6156,19.20110893,72.87722778,tigerprop,Mumbai,11/13/2013 18:07:44,sale,Apartment,andheri to dahisar,980,Under Construction,Rajesh LifeSpaces,None,None,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",false,Kandivali East,None,None,11/30/2017 18:30:00,,None,50027,None,611,04/18/2016 04:38:30
1,,1,5061530,White City,2BHK,16954500.0,0,11850.6156,19.20110893,72.87722778,tigerprop,Mumbai,11/13/2013 18:07:44,sale,Apartment,andheri to dahisar,1335,Under Construction,Rajesh LifeSpaces,None,None,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",false,Kandivali East,None,None,11/30/2017 18:30:00,,None,50027,None,833,04/18/2016 04:38:30
1,,1,5084671,White City,3BHK,25590500.0,0,11850.6156,19.20110893,72.87722778,tigerprop,Mumbai,11/13/2013 18:07:44,sale,Apartment,andheri to dahisar,2015,Under Construction,Rajesh LifeSpaces,None,None,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",false,Kandivali East,None,None,11/30/2017 18:30:00,,None,50027,None,1260,04/18/2016 04:38:30
1,,1,5321943,White City,3BHK,25641300.0,0,11850.6156,19.20110893,72.87722778,tigerprop,Mumbai,11/02/2015 12:11:59,sale,Apartment,andheri to dahisar,2019,Under Construction,Rajesh LifeSpaces,None,None,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",false,Kandivali East,None,None,11/30/2017 18:30:00,,None,50027,None,1265,04/18/2016 04:38:30
1,,1,5090055,White City,3BHK,26543000.0,0,11850.6156,19.20110893,72.87722778,tigerprop,Mumbai,11/13/2013 18:07:44,sale,Apartment,andheri to dahisar,2090,Under Construction,Rajesh LifeSpaces,None,None,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",false,Kandivali East,None,None,11/30/2017 18:30:00,,None,50027,None,1265,04/18/2016 04:38:30
1,,1,6131425,White City,3BHK,26670000.0,0,11850.6156,19.20110893,72.87722778,tigerprop,Mumbai,04/18/2016 10:08:30,sale,Apartment,andheri to dahisar,2100,Under Construction,Rajesh LifeSpaces,None,None,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",false,Kandivali East,None,None,11/30/2017 18:30:00,,None,50027,None,1307,04/18/2016 04:38:30
1,,1,5090056,White City,4BHK,34099500.0,0,11850.6156,19.20110893,72.87722778,tigerprop,Mumbai,11/13/2013 18:07:44,sale,Apartment,andheri to dahisar,2685,Under Construction,Rajesh LifeSpaces,None,None,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",false,Kandivali East,None,None,11/30/2017 18:30:00,,None,50027,None,1679,04/18/2016 04:38:30
1,,1,6131426,White City,4BHK,34290000.0,0,11850.6156,19.20110893,72.87722778,tigerprop,Mumbai,04/18/2016 10:08:30,sale,Apartment,andheri to dahisar,2700,Under Construction,Rajesh LifeSpaces,None,None,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",false,Kandivali East,None,None,11/30/2017 18:30:00,,None,50027,None,1679,04/18/2016 04:38:30
1,,1,6113340,Bliss,2BHK,9987500.0,0,11092.8336,19.13327599,72.93379211,tigerprop,Mumbai,04/12/2016 05:59:54,sale,Apartment,central mumbai,850,Under Construction,Runwal Group,None,None,"Crompton Greaves Compound, Kanjurmarg, Mumbai",false,Kanjurmarg,None,None,10/31/2019 18:30:00,,None,50013,None,513,07/07/2016 05:12:44
