city,listing_id,listing_date,property_subtype,sqft,locality,configtype,platform,Selling_Price,txn_type,property_type,listing_by,Building_Name
Mumbai,4212629,05/30/2016,Apartments / Flats,950,Dombivali East,2 BHK,Sulekha,5500000.0,Sale,Residential,Pravin Rathod,Casa Rio
Mumbai,4290900,06/27/2016,Apartments / Flats,560,Ambernath East,1 BHK,Sulekha,1734000.0,Sale,Residential,S V Enterprises,Mount View
Mumbai,4335746,05/15/2016,Apartments / Flats,550,Goregaon East,1 BHK,Sulekha,9500000.0,Sale,Residential,Nilesh,
Mumbai,4377487,05/27/2016,Apartments / Flats,490,Naigaon West,1 BHK,Sulekha,1500000.0,Sale,Residential,vinay singh,vastushri apartment
Mumbai,4429043,06/14/2016,Apartments / Flats,680,Thane,1 BHK,Sulekha,5910000.0,Sale,Residential,Amit Mansukhani,KALPATARU - IMMENSA
Mumbai,4630882,06/17/2016,Apartments / Flats,670,,1 BHK,Sulekha,4500000.0,Sale,Residential,Sujit Jha,
Mumbai,3828610,06/09/2016,Apartments / Flats,1350,Dombivali East,3 BHK,Sulekha,11500000.0,Sale,Residential,Gharkul Estate Agency,Gharkul
Mumbai,4497714,07/04/2016,Apartments / Flats,475,Nalasopara East,1 RK,Sulekha,1710000.0000000002,Sale,Residential,vasturupee property,
Mumbai,4520499,05/12/2016,Apartments / Flats,1120,Dahisar East,2 BHK,Sulekha,9000000.0,Sale,Residential,Sharma Estate Agency,Darvesh Horizon
Mumbai,4049652,05/18/2016,Apartments / Flats,757,Chembur East,1 BHK,Sulekha,6813000.0,Sale,Residential,Xtreme Properties,Venus Heights New Projecys
Mumbai,3996238,05/31/2016,Apartments / Flats,261,Mira Road,1 RK,Sulekha,1490000.0,Sale,Residential,pravin,Apna Ghar
Mumbai,4058095,05/22/2016,Apartments / Flats,385,Naigaon East,1 RK,Sulekha,1270000.0,Sale,Residential,Vedant Enterprises,Sargam Avenue
Mumbai,4535768,05/19/2016,Apartments / Flats,615,Palghar West,1 BHK,Sulekha,1753000.0,Sale,Residential,Vidhata Developers,Naina Apartments
Mumbai,4531347,05/17/2016,Apartments / Flats,1108,Kandivali East,2 BHK,Sulekha,21000000.0,Sale,Residential,SKY HOUSING   MR awdhesh,
Mumbai,4306159,06/06/2016,Apartments / Flats,550,Nalasopara West,1 BHK,Sulekha,1700000.0,Sale,Residential,BAPAN DEY,
Mumbai,3986488,05/13/2016,Commercial: Others,3000,Mulund Colony,,Sulekha,140000000.0,Sale,Commercial,vastu aura,
Mumbai,4102538,06/13/2016,Apartments / Flats,1375,Andheri East,3 BHK,Sulekha,22599999.999999996,Sale,Residential,Nadeem Ishaqui,
Mumbai,3848164,06/21/2016,Apartments / Flats,700,Mira Road,2 BHK,Sulekha,4600000.0,Sale,Residential,Jai Hind Enterprises,
Mumbai,3840688,06/17/2016,Apartments / Flats,1150,Khar West,Semi Furnished,Sulekha,90000000.0,Sale,Residential,Riddhi Siddhi Properties,
Mumbai,3555360,06/07/2016,Apartments / Flats,200,Vasai Road East,1 RK,Sulekha,2750000.0,Sale,Residential,Shivkumar,
Mumbai,4335469,05/15/2016,Apartments / Flats,565,Thane,1 BHK,Sulekha,4800000.0,Sale,Residential,Swagat Properties,
Mumbai,3854755,06/23/2016,Apartments / Flats,1475,Ghatkoparwest,3 BHK,Sulekha,29500000.0,Sale,Residential,Pratik R Shah,The address
Mumbai,4559158,05/26/2016,Apartments / Flats,1000,Mahim West,2 BHK,Sulekha,,Sale,Residential,Sairaj Properties,
Mumbai,4278387,05/27/2016,Apartments / Flats,600,Goregaon West,1 BHK,Sulekha,8900000.0,Sale,Residential,WAJID,
Mumbai,4234910,06/06/2016,Commercial: Showrooms/Shops,200,Vangani,,Sulekha,900000.0,Sale,Commercial,manik constructions,
Mumbai,3995681,06/17/2016,Apartments / Flats,650,Andheri East,1 BHK,Sulekha,11500000.0,Sale,Residential,Pankaj Chitalia,I Swapnalok
Mumbai,4173958,05/17/2016,Apartments / Flats,675,Virar West,1 BHK,Sulekha,2350000.0,Sale,Residential,ganesh girane,
Mumbai,3775653,06/27/2016,Apartments / Flats,1550,Santacruz East,3 BHK,Sulekha,36000000.0,Sale,Residential,Rakesh,
Mumbai,4612157,06/13/2016,Apartments / Flats,1250,Kandivali East,2 BHK,Sulekha,15500000.0,Sale,Residential,Shree Krishna Realtors,
Mumbai,4174138,05/18/2016,Apartments / Flats,1898,Dadar East,2 BHK,Sulekha,57000000.0,Sale,Residential,Mr Kishor Kumar Choudhary,
Mumbai,4011298,06/15/2016,Apartments / Flats,505,Asangaon East,1 BHK,Sulekha,1350000.0,Sale,Residential,shankheshwar estate agency,Sanghvi Paradise
Mumbai,4336888,05/15/2016,Apartments / Flats,575,Virar East,1 BHK,Sulekha,2200000.0,Sale,Residential,HARISHANKAR TIWARI,Hiru Apartement
Mumbai,3944946,05/26/2016,Apartments / Flats,600,Mulund West,1 BHK,Sulekha,8300000.0,Sale,Residential,Ramesh Prajapathi,lbs marg
Mumbai,3789881,06/04/2016,Apartments / Flats,600,Bhayander East,1 BHK,Sulekha,4300000.0,Sale,Residential,Om Sai Realtors,
Mumbai,4613165,06/13/2016,Row House,56,Saphale,1 BHK,Sulekha,1314000.0,Sale,Residential,Pankaj Soni,
Mumbai,4604508,06/10/2016,Apartments / Flats,600,Andheri East,1 BHK,Sulekha,12500000.0,Sale,Residential,Bam Bam Bhole Property Consultant,
Mumbai,4223403,06/03/2016,Apartments / Flats,1100,Andheri East,2 BHK,Sulekha,21000000.0,Sale,Residential,Sai Housing Real estate,telly lane
Mumbai,4542535,05/20/2016,Apartments / Flats,600,Boisar West,1 BHK,Sulekha,1800000.0,Sale,Residential,Kalash Devcon LLP,
Mumbai,4615611,06/14/2016,Apartments / Flats,485,Nalasopara West,1 BHK,Sulekha,1685000.0000000002,Sale,Residential,mahalaxmi home salution,
Mumbai,4127161,07/05/2016,Apartments / Flats,565,Palghar West,1 BHK,Sulekha,2260000.0,Sale,Residential,Bhavani Builders & Developers,Bhavani Paradise
Mumbai,4601206,07/04/2016,Apartments / Flats,560,Nalasopara West,1 BHK,Sulekha,2020000.0,Sale,Residential,TOPAZ HOMES,
Mumbai,4315569,05/08/2016,Apartments / Flats,463,Neral,1 RK,Sulekha,1065000.0,Sale,Residential,Landmark Spaces An Associates,
